
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
12.0481 4.81922 4.21682 23.5922 18.5843 11.5686 
CV Recruit
0.519108 
Alternative 1 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023 12.0481 4.81922 4.21682 13.7363 13.8017 13.8128 13.9283 0.065124 
2024 12.0481 4.81922 4.21682 13.9781 14.193 14.2295 14.5832 0.206951 
2025 12.0481 4.81922 4.21682 13.719 14.2197 14.2916 15.0907 0.45832 
2026 12.0481 4.81922 4.21682 13.2317 14.0857 14.1834 15.5182 0.742232 
2027 12.0481 4.81922 4.21682 12.7359 13.8824 14.0084 15.7265 0.978813 
2028 12.0481 4.81922 4.21682 12.2365 13.6673 13.8067 15.8698 1.15145 
2029 12.0481 4.81922 4.21682 11.7535 13.4438 13.5991 15.8517 1.27358 
2030 12.0481 4.81922 4.21682 11.3839 13.2641 13.4002 15.7703 1.35812 
2031 12.0481 4.81922 4.21682 11.1542 13.1116 13.2199 15.7307 1.41459 
2032 12.0481 4.81922 4.21682 10.9491 12.9173 13.0625 15.6066 1.45252 
2033 12.0481 4.81922 4.21682 10.7874 12.7686 12.9257 15.5574 1.48291 
2034 12.0481 4.81922 4.21682 10.5483 12.6441 12.8005 15.5173 1.50413 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.409759 0.573207 0.000133444 0.000133444 0.000133444 0.000133444 1.43657e-18 
2022  0 0.409759 0.573207 0.000116523 0.000116527 0.000116527 0.00011653 2.30112e-09 
2023  0 0.409759 0.573207 9.51176e-05 9.51576e-05 9.5154e-05 9.51764e-05 1.96456e-08 
2024  0 0.409759 0.573207 0 0 0 0 0 
2025  0 0.409759 0.573207 0 0 0 0 0 
2026  0 0.409759 0.573207 0 0 0 0 0 
2027  0 0.409759 0.573207 0 0 0 0 0 
2028  0 0.409759 0.573207 0 0 0 0 0 
2029  0 0.409759 0.573207 0 0 0 0 0 
2030  0 0.409759 0.573207 0 0 0 0 0 
2031  0 0.409759 0.573207 0 0 0 0 0 
2032  0 0.409759 0.573207 0 0 0 0 0 
2033  0 0.409759 0.573207 0 0 0 0 0 
2034  0 0.409759 0.573207 0 0 0 0 0 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 56.7491 15.3077 14.1923 31.9747 31.9747 31.9747 31.9747 2.16716e-13 
2022 56.7491 15.3077 14.1923 31.8898 32.5716 32.728 34.1044 0.739034 
2023 56.7491 15.3077 14.1923 31.4042 32.8017 33.0256 35.2933 1.31597 
2024 56.7491 15.3077 14.1923 30.5877 32.7464 33.0139 36.2441 1.83061 
2025 56.7491 15.3077 14.1923 29.8017 32.5391 32.7889 36.8116 2.25891 
2026 56.7491 15.3077 14.1923 28.7404 32.065 32.4253 37.0386 2.61807 
2027 56.7491 15.3077 14.1923 27.8136 31.6809 32.0154 37.1702 2.88274 
2028 56.7491 15.3077 14.1923 27.1132 31.3061 31.5968 37.0629 3.08819 
2029 56.7491 15.3077 14.1923 26.4451 30.9217 31.194 36.8566 3.21756 
2030 56.7491 15.3077 14.1923 26.1129 30.5473 30.8585 36.7477 3.31698 
2031 56.7491 15.3077 14.1923 25.6409 30.1177 30.5262 36.6101 3.41799 
2032 56.7491 15.3077 14.1923 25.1002 29.9021 30.2212 36.3046 3.45149 
2033 56.7491 15.3077 14.1923 24.7415 29.605 29.9038 36.0966 3.47079 
2034 56.7491 15.3077 14.1923 24.3339 29.4096 29.64 35.694 3.4787 
Alternative 6 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 3.01408e-17 
2022  0 2.02344 2.21233 7.45771 7.45788 7.45791 7.45826 0.00018452 
2023  0 2.02344 2.21233 6.21063 6.21288 6.21333 6.21768 0.00235769 
2024  0 2.02344 2.21233 4.78825 4.80416 4.80712 4.83628 0.0163277 
2025  0 2.02344 2.21233 3.51677 3.58825 3.60036 3.72594 0.07078 
2026  0 2.02344 2.21233 2.28503 2.76454 2.77717 3.28583 0.314419 
2027  0 2.02344 2.21233 1.56499 2.28242 2.32481 3.26129 0.568845 
2028  0 2.02344 2.21233 1.3727 2.05859 2.15317 3.19295 0.587319 
2029  0 2.02344 2.21233 1.3167 2.00295 2.0822 3.07953 0.562851 
2030  0 2.02344 2.21233 1.25492 1.97451 2.04139 3.02506 0.552864 
2031  0 2.02344 2.21233 1.24641 1.95448 2.01889 3.01833 0.541544 
2032  0 2.02344 2.21233 1.25973 1.93187 2.01501 2.98111 0.534796 
2033  0 2.02344 2.21233 1.27735 1.93688 2.01779 2.98015 0.530791 
2034  0 2.02344 2.21233 1.26343 1.95034 2.02474 2.98091 0.541189 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
