
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
52.5576 21.023 18.3951 54.0161 43.9513 40.4577 
CV Recruit
0.478536 
Alternative 1 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 7.4866 8.10838 1.567 1.567 1.567 1.567 7.60447e-10 
2023  0 7.4866 8.10838 1.567 1.567 1.567 1.567 3.98223e-07 
2024  0 7.4866 8.10838 0 0 0 0 0 
2025  0 7.4866 8.10838 0 0 0 0 0 
2026  0 7.4866 8.10838 0 0 0 0 0 
2027  0 7.4866 8.10838 0 0 0 0 0 
2028  0 7.4866 8.10838 0 0 0 0 0 
2029  0 7.4866 8.10838 0 0 0 0 0 
2030  0 7.4866 8.10838 0 0 0 0 0 
2031  0 7.4866 8.10838 0 0 0 0 0 
2032  0 7.4866 8.10838 0 0 0 0 0 
2033  0 7.4866 8.10838 0 0 0 0 0 
2034  0 7.4866 8.10838 0 0 0 0 0 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 52.5576 21.023 18.3951 40.4577 40.4577 40.4577 40.4577 8.52651e-14 
2022 52.5576 21.023 18.3951 46.5006 46.5417 46.5499 46.628 0.041856 
2023 52.5576 21.023 18.3951 51.4985 51.7155 51.7487 52.1181 0.207573 
2024 52.5576 21.023 18.3951 54.6071 55.3632 55.4737 56.6665 0.695213 
2025 52.5576 21.023 18.3951 56.1369 57.9394 58.1777 60.958 1.6 
2026 52.5576 21.023 18.3951 55.8826 59.0624 59.3661 64.0282 2.67032 
2027 52.5576 21.023 18.3951 54.9227 59.1974 59.6445 65.7204 3.60211 
2028 52.5576 21.023 18.3951 53.5096 58.9298 59.4276 66.9835 4.31688 
2029 52.5576 21.023 18.3951 51.8055 58.3926 58.948 67.6028 4.84894 
2030 52.5576 21.023 18.3951 50.457 57.8554 58.3464 67.5154 5.23062 
2031 52.5576 21.023 18.3951 49.5569 57.2609 57.7147 67.4546 5.49403 
2032 52.5576 21.023 18.3951 48.6106 56.4982 57.1122 67.2194 5.68033 
2033 52.5576 21.023 18.3951 48.0718 55.9948 56.5609 67.0321 5.83388 
2034 52.5576 21.023 18.3951 47.1812 55.5428 56.0468 66.5664 5.94941 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.219218 0.272159 0.00572294 0.00572294 0.00572294 0.00572294 6.15827e-17 
2022  0 0.219218 0.272159 0.0195595 0.0195685 0.0195676 0.0195728 4.35382e-06 
2023  0 0.219218 0.272159 0.0175973 0.0176995 0.0176904 0.0177504 5.0368e-05 
2024  0 0.219218 0.272159 0 0 0 0 0 
2025  0 0.219218 0.272159 0 0 0 0 0 
2026  0 0.219218 0.272159 0 0 0 0 0 
2027  0 0.219218 0.272159 0 0 0 0 0 
2028  0 0.219218 0.272159 0 0 0 0 0 
2029  0 0.219218 0.272159 0 0 0 0 0 
2030  0 0.219218 0.272159 0 0 0 0 0 
2031  0 0.219218 0.272159 0 0 0 0 0 
2032  0 0.219218 0.272159 0 0 0 0 0 
2033  0 0.219218 0.272159 0 0 0 0 0 
2034  0 0.219218 0.272159 0 0 0 0 0 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 217.789 57.2025 52.7094 107.593 107.593 107.593 107.593 1.7053e-12 
2022 217.789 57.2025 52.7094 112.009 114.115 114.54 118.547 2.14909 
2023 217.789 57.2025 52.7094 112.939 117.36 117.937 124.713 4.00255 
2024 217.789 57.2025 52.7094 111.709 118.657 119.396 129.332 5.72931 
2025 217.789 57.2025 52.7094 111.25 120.097 120.937 133.376 7.2538 
2026 217.789 57.2025 52.7094 109.158 120.252 121.298 136.195 8.57641 
2027 217.789 57.2025 52.7094 106.85 119.899 120.928 137.935 9.59229 
2028 217.789 57.2025 52.7094 104.831 119.262 120.132 138.932 10.3975 
2029 217.789 57.2025 52.7094 102.769 118.222 119.114 138.458 10.9401 
2030 217.789 57.2025 52.7094 101.623 117.282 118.144 138.498 11.3771 
2031 217.789 57.2025 52.7094 100.508 115.757 117.095 138.554 11.784 
2032 217.789 57.2025 52.7094 98.239 115.092 116.076 137.164 11.9799 
2033 217.789 57.2025 52.7094 96.8737 114.012 114.999 135.822 12.0919 
2034 217.789 57.2025 52.7094 95.7244 113.38 114.07 135.568 12.1747 
Alternative 6 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 7.4866 8.10838 0.392 0.392 0.392 0.392 8.10463e-15 
2022  0 7.4866 8.10838 19.5477 19.5524 19.5534 19.5623 0.00480403 
2023  0 7.4866 8.10838 17.5772 17.6447 17.657 17.7805 0.067365 
2024  0 7.4866 8.10838 15.1025 15.4632 15.5209 16.1383 0.347492 
2025  0 7.4866 8.10838 12.3676 13.2478 13.3588 14.6993 0.776183 
2026  0 7.4866 8.10838 10.0929 11.3667 11.5396 13.4411 1.091 
2027  0 7.4866 8.10838 8.57462 10.0587 10.2161 12.3432 1.22647 
2028  0 7.4866 8.10838 6.95677 9.14696 9.23051 11.5355 1.37706 
2029  0 7.4866 8.10838 5.8005 8.51573 8.436 10.9606 1.56208 
2030  0 7.4866 8.10838 5.19946 7.97274 7.88714 10.495 1.62461 
2031  0 7.4866 8.10838 5.01067 7.44917 7.55277 10.2381 1.61709 
2032  0 7.4866 8.10838 4.99951 7.18011 7.37483 10.0453 1.61112 
2033  0 7.4866 8.10838 4.96417 7.09639 7.29221 10.0776 1.61612 
2034  0 7.4866 8.10838 4.81604 7.07759 7.23584 9.98454 1.59188 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
