
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
71.0291 28.4159 25.534 74.3488 61.621 56.744 
CV Recruit
0.454477 
Alternative 1 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024 71.0291 28.4159 25.534 73.9245 74.8949 75.0299 76.5463 0.875077 
2025 71.0291 28.4159 25.534 72.861 75.1992 75.4816 78.9382 2.02076 
2026 71.0291 28.4159 25.534 69.3197 73.3516 73.7624 79.5595 3.38318 
2027 71.0291 28.4159 25.534 65.0815 70.5586 71.1172 78.8619 4.57205 
2028 71.0291 28.4159 25.534 60.5588 67.4883 68.1342 77.6009 5.48163 
2029 71.0291 28.4159 25.534 56.433 64.7191 65.3443 76.3278 6.11469 
2030 71.0291 28.4159 25.534 53.2926 62.3838 62.9637 74.0751 6.46509 
2031 71.0291 28.4159 25.534 51.0973 60.3998 60.9902 72.6158 6.64373 
2032 71.0291 28.4159 25.534 49.2991 58.6144 59.3938 71.7361 6.74576 
2033 71.0291 28.4159 25.534 48.0362 57.1923 58.122 70.1079 6.82753 
2034 71.0291 28.4159 25.534 47.1579 56.1974 57.096 69.4738 6.89018 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 1.78706 5.15419 0.00785372 0.00785372 0.00785372 0.00785372 1.38778e-17 
2022  0 1.78706 5.15419 0.0336452 0.0336452 0.0336452 0.0336452 5.34295e-16 
2023  0 1.78706 5.15419 0.0359037 0.0359037 0.0359037 0.0359037 2.70617e-16 
2024  0 1.78706 5.15419 0.0973544 0.0973544 0.0973544 0.0973544 1.15186e-15 
2025  0 1.78706 5.15419 0.0973544 0.0973544 0.0973544 0.0973544 1.15186e-15 
2026  0 1.78706 5.15419 0.0973544 0.0973544 0.0973544 0.0973544 1.15186e-15 
2027  0 1.78706 5.15419 0.0973544 0.0973544 0.0973544 0.0973544 1.15186e-15 
2028  0 1.78706 5.15419 0.0973544 0.0973544 0.0973544 0.0973544 1.15186e-15 
2029  0 1.78706 5.15419 0.0973544 0.0973544 0.0973544 0.0973544 1.15186e-15 
2030  0 1.78706 5.15419 0.0973544 0.0973544 0.0973544 0.0973544 1.15186e-15 
2031  0 1.78706 5.15419 0.0973544 0.0973544 0.0973544 0.0973544 1.15186e-15 
2032  0 1.78706 5.15419 0.0973544 0.0973544 0.0973544 0.0973544 1.15186e-15 
2033  0 1.78706 5.15419 0.0973544 0.0973544 0.0973544 0.0973544 1.15186e-15 
2034  0 1.78706 5.15419 0.0973544 0.0973544 0.0973544 0.0973544 1.15186e-15 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 293.259 78.355 73.541 146.753 146.753 146.753 146.753 1.13687e-12 
2022 293.259 78.355 73.541 151.478 154.235 154.77 159.77 2.74026 
2023 293.259 78.355 73.541 152.566 158.271 158.977 167.653 5.08663 
2024 293.259 78.355 73.541 151.279 160.06 161.001 173.386 7.25237 
2025 293.259 78.355 73.541 146.239 157.475 158.522 174.184 9.17064 
2026 293.259 78.355 73.541 138.702 152.634 153.909 172.764 10.8331 
2027 293.259 78.355 73.541 130.895 147.462 148.675 169.931 12.0894 
2028 293.259 78.355 73.541 123.94 142.206 143.289 166.685 13.0875 
2029 293.259 78.355 73.541 117.614 137.425 138.474 163.213 13.7317 
2030 293.259 78.355 73.541 114.057 133.296 134.593 160.681 14.1189 
2031 293.259 78.355 73.541 110.43 129.62 131.338 157.539 14.4614 
2032 293.259 78.355 73.541 106.869 127.456 128.671 154.69 14.5798 
2033 293.259 78.355 73.541 105.075 125.057 126.358 151.713 14.606 
2034 293.259 78.355 73.541 102.628 123.117 124.564 150.134 14.6382 
Alternative 5 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 9.13035 8.93026 0.392 0.392 0.392 0.392 4.82947e-15 
2022  0 9.13035 8.93026 1.567 1.567 1.567 1.567 1.26565e-14 
2023  0 9.13035 8.93026 1.567 1.567 1.567 1.567 1.26565e-14 
2024  0 9.13035 8.93026 0 0 0 0 0 
2025  0 9.13035 8.93026 0 0 0 0 0 
2026  0 9.13035 8.93026 0 0 0 0 0 
2027  0 9.13035 8.93026 0 0 0 0 0 
2028  0 9.13035 8.93026 0 0 0 0 0 
2029  0 9.13035 8.93026 0 0 0 0 0 
2030  0 9.13035 8.93026 0 0 0 0 0 
2031  0 9.13035 8.93026 0 0 0 0 0 
2032  0 9.13035 8.93026 0 0 0 0 0 
2033  0 9.13035 8.93026 0 0 0 0 0 
2034  0 9.13035 8.93026 0 0 0 0 0 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 71.0291 28.4159 25.534 56.744 56.744 56.744 56.744 1.13687e-12 
2022 71.0291 28.4159 25.534 64.1798 64.2342 64.2447 64.3433 0.054025 
2023 71.0291 28.4159 25.534 70.2317 70.514 70.5547 71.0186 0.263093 
2024 71.0291 28.4159 25.534 73.9245 74.8949 75.0299 76.5463 0.875077 
2025 71.0291 28.4159 25.534 75.6248 77.963 78.2455 81.702 2.02076 
2026 71.0291 28.4159 25.534 75.2139 79.2458 79.6566 85.4537 3.38318 
2027 71.0291 28.4159 25.534 73.9666 79.4437 80.0023 87.7471 4.57205 
2028 71.0291 28.4159 25.534 72.1794 79.109 79.7549 89.2215 5.48163 
2029 71.0291 28.4159 25.534 70.1804 78.5988 79.1857 90.1651 6.1533 
2030 71.0291 28.4159 25.534 68.5869 77.8006 78.463 90.0491 6.62708 
2031 71.0291 28.4159 25.534 67.3167 77.166 77.6937 89.962 6.95115 
2032 71.0291 28.4159 25.534 66.2241 76.2083 76.946 90.2207 7.18129 
2033 71.0291 28.4159 25.534 65.6175 75.4836 76.2505 89.5574 7.37168 
2034 71.0291 28.4159 25.534 64.6903 74.8798 75.594 89.1734 7.52099 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 1.78706 5.15419 0.00785372 0.00785372 0.00785372 0.00785372 1.38778e-17 
2022  0 1.78706 5.15419 0.0336452 0.0336452 0.0336452 0.0336452 5.34295e-16 
2023  0 1.78706 5.15419 0.0359037 0.0359037 0.0359037 0.0359037 2.70617e-16 
2024  0 1.78706 5.15419 0 0 0 0 0 
2025  0 1.78706 5.15419 0 0 0 0 0 
2026  0 1.78706 5.15419 0 0 0 0 0 
2027  0 1.78706 5.15419 0 0 0 0 0 
2028  0 1.78706 5.15419 0 0 0 0 0 
2029  0 1.78706 5.15419 0 0 0 0 0 
2030  0 1.78706 5.15419 0 0 0 0 0 
2031  0 1.78706 5.15419 0 0 0 0 0 
2032  0 1.78706 5.15419 0 0 0 0 0 
2033  0 1.78706 5.15419 0 0 0 0 0 
2034  0 1.78706 5.15419 0 0 0 0 0 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 293.259 78.355 73.541 146.753 146.753 146.753 146.753 1.13687e-12 
2022 293.259 78.355 73.541 151.478 154.235 154.77 159.77 2.74026 
2023 293.259 78.355 73.541 152.566 158.271 158.977 167.653 5.08663 
2024 293.259 78.355 73.541 151.279 160.06 161.001 173.386 7.25237 
2025 293.259 78.355 73.541 150.552 161.788 162.834 178.497 9.17064 
2026 293.259 78.355 73.541 148.002 161.934 163.21 182.064 10.8331 
2027 293.259 78.355 73.541 144.938 161.504 162.718 183.973 12.0894 
2028 293.259 78.355 73.541 142.328 160.593 161.676 185.072 13.0875 
2029 293.259 78.355 73.541 139.428 159.285 160.374 185.211 13.77 
2030 293.259 78.355 73.541 138.245 157.851 159.088 185.194 14.3006 
2031 293.259 78.355 73.541 136.891 155.889 157.702 184.419 14.8096 
2032 293.259 78.355 73.541 134.365 154.984 156.344 183.276 15.0744 
2033 293.259 78.355 73.541 132.498 153.859 154.913 180.778 15.2252 
2034 293.259 78.355 73.541 130.666 152.541 153.677 180.161 15.3481 
